0.000000182324433480851863517767 0.500000009137115508650595074869 0.500000015484739490645438309002 0.500000001864813969909562274552 0.499999997576272281474274450375 0.499999992905576007284906836503 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871578465531115398335 0.500000019955999408516333915031 0.500000028795289153116243596742  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000354430335527940259321758 0.500000009134311529379601779510 0.500000015379721496344700426562 0.500000001841060970342311975401 0.499999997576277221966734032321 0.499999992905531986941980449046 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871564920810214971425 0.500000019955999075449426527484 0.500000028795118622859661172697  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000354512967598175969887608 0.500000009133585665566101852164 0.500000015379721496344700426562 0.500000001841060970342311975401 0.499999997576277221966734032321 0.499999992905530932230107055148 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871564920810214971425 0.500000019955999408516333915031 0.500000028795118622859661172697  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000351558924501131181791129 0.500000009134311529379601779510 0.500000015379721496344700426562 0.500000001841060970342311975401 0.499999997575724164367017010591 0.499999992905531986941980449046 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871565364899424821488 0.500000019956004071453037340689 0.500000028795118622859661172697  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000351558924501131181791129 0.500000009240357701223445019423 0.500000015379721496344700426562 0.500000001841060970342311975401 0.499999997575724164367017010591 0.499999992905575230128789598893 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871565364899424821488 0.500000019956005070653759503330 0.500000028776753646653219220752  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000182324433480851863517767 0.500000009137115508650595074869 0.500000015484739490645438309002 0.500000001864813969909562274552 0.499999997576272281474274450375 0.499999992905576007284906836503 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871578465531115398335 0.500000019955999408516333915031 0.500000028795289153116243596742  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000182324433480851863517767 0.500000009137115508650595074869 0.500000015484739490645438309002 0.500000001897140000650665569992 0.499999997576272281474274450375 0.499999992905576340351814224050 0.499999997011413233050092230769 0.500000000177718062488452233083 0.500000020871578465531115398335 0.500000019955999408516333915031 0.500000028787451200606994916598  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000182740640200135435380682 0.500000009134213829753434765735 0.500000015480518533728115926351 0.500000001864813969909562274552 0.499999997576458965475865170447 0.499999992905540924237328681556 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871579686776442486007 0.500000019955999408516333915031 0.500000028795289153116243596742  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000148058876388769239278897 0.500000009134308198710527904041 0.500000015511355977437801811902 0.500000001866900301017437868722 0.499999997575904187030459979724 0.499999992905531209785863211437 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871578465531115398335 0.500000019956004071453037340689 0.500000028820847819410744250490  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000185456239116433238165257 0.500000009134213829753434765735 0.500000015480518533728115926351 0.500000001294052087708053022652 0.499999997576433707902054948136 0.499999992905540924237328681556 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871579686776442486007 0.500000019955999408516333915031 0.500000028795289153116243596742  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000351612981761083531961697 0.500000009134339284955217408424 0.500000015379721496344700426562 0.500000001841060970342311975401 0.499999997575726551346519954677 0.499999992905530932230107055148 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871564920810214971425 0.500000019955999408516333915031 0.500000028795118622859661172697  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000183984674531144289618599 0.500000009137115508650595074869 0.500000015484739490645438309002 0.500000001897140000650665569992 0.499999997576296317802757585014 0.499999992905759860217784762426 0.499999997011413233050092230769 0.500000000177718062488452233083 0.500000020871579797798744948523 0.500000019955999408516333915031 0.500000028793563200402161328384  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000182740640200135435380682 0.500000009134315526182490430074 0.500000015480518533728115926351 0.500000001867044185921429289010 0.499999997576458965475865170447 0.499999992905531209785863211437 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871579686776442486007 0.500000019955999408516333915031 0.500000028793255335557432772475  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000182324433480851863517767 0.500000009137115508650595074869 0.500000015380325457670096511720 0.500000001864813969909562274552 0.499999997576272281474274450375 0.499999992905530599163199667601 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871578465531115398335 0.500000019955999075449426527484 0.500000028795289153116243596742  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000351558924501131181791129 0.500000009134311529379601779510 0.500000015379721496344700426562 0.500000001898458279470105480868 0.499999997574201160421836220848 0.499999992905790502373264416747 0.499999997011413233050092230769 0.500000000177718062488452233083 0.500000020871564920810214971425 0.500000019956013841415654042066 0.500000028795143047766202926141  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000000172307176802882955158139 0.500000009134213718731132303219 0.500000015585909340920522936358 0.500000001886842015963452467986 0.499999997575721055742548060152 0.499999992905545476151729644698 0.499999997011413233050092230769 0.500000000177719394756081783271 0.500000020871579686776442486007 0.500000019955999408516333915031 0.500000028794223783101813296526  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
0.000001080277741104189599189692 0.500000009134308198710527904041 0.500000015511355977437801811902 0.500000001866900301017437868722 0.499999997575904187030459979724 0.499999992905531209785863211437 0.499999997011413233050092230769 0.500000000177708403548137994221 0.500000020871578465531115398335 0.500000019956004071453037340689 0.500000028820710040733388268563  | 1.000000000000001998401444325282 0.000000000000000000000000000000 
