2  4  5.99998  7.99712  3.57353e-16  0.0849899  0.230377  0.161071  8.53639  7.57634  7.51798  7.96351  8.38982  8.79898  9.19236  9.57077  9.93524  10.285  10.6228  10.9483  11.2599  11.5614  11.8515  12.1312  
2  4  5.99998  7.99712  3.57353e-16  0.0849899  0.230377  0.161071  8.53639  7.57634  7.51798  7.96351  8.38982  8.79898  9.19236  9.57077  9.93524  10.285  10.6228  10.9483  11.2599  11.5614  11.8515  12.1312  
2  4  5.99998  7.99712  3.57353e-16  0.0849899  0.230377  0.161071  8.53639  7.57634  7.51798  7.96351  8.38982  8.79898  9.19236  9.57077  9.93524  10.285  10.6228  10.9483  11.2599  11.5614  11.8515  12.1312  
2  4  6  8  3.57353e-16  0.0805351  0.230377  0.161071  8.53639  7.57596  7.51798  7.96382  8.39006  8.79997  9.19236  9.57077  9.93515  10.285  10.6232  10.9496  11.26  11.5616  11.8516  12.1312  
2  4  5.93901  5.154  2.45813e-10  0  4.1264e-05  6.30681  8.24093  6.93922  7.37523  7.88062  8.25573  8.66655  9.02664  9.38304  9.74591  10.115  10.4667  10.8086  11.0499  11.3903  11.6943  11.9524  
1.93895  3.96163  5.99999  7.99802  0.0119536  0.575829  0.230207  0.130869  8.54714  7.63703  7.52318  7.96955  8.39676  8.80638  9.19701  9.57731  9.94284  10.2911  10.6364  10.958  11.2701  11.5767  11.8655  12.1436  
1.97918  3.99761  5.98992  7.33917  0.0113681  0.264105  0.253318  1.38456  8.49219  7.33699  7.49683  7.93543  8.3559  8.77493  9.16799  9.54705  9.90587  10.2548  10.5941  10.9029  11.2212  11.5229  11.8105  12.0966  
2  4  6  8  3.57353e-16  0.0805351  0.230377  0.161071  8.53639  7.57596  7.51798  7.96382  8.39006  8.79997  9.19236  9.57077  9.93515  10.285  10.6232  10.9496  11.26  11.5616  11.8516  12.1312  
2  4  5.94618  2.69766  0.0759259  0.00895585  2.32132  5.78968  6.10711  6.71358  6.87384  7.28267  7.7639  7.97227  8.37962  8.60773  9.01295  9.35389  9.68462  9.98578  10.2935  10.1618  10.5798  10.8317  
1.86109  3.99832  5.99629  7.48753  0.0278868  1.22796  0.252979  0.706985  8.51284  7.44845  7.50723  7.94704  8.37604  8.78942  9.17729  9.5679  9.92038  10.2692  10.5992  10.925  11.2421  11.5611  11.8386  12.1093  
1.95533  3.99523  5.9916  6.71081  0.000500966  0.434486  0.272752  2.59411  8.45057  7.11683  7.47677  7.94495  8.37808  8.75886  9.14694  9.52784  9.8788  10.2309  10.5653  10.8823  11.1849  11.5145  11.7953  12.0622  
1.91359  3.59536  5.99428  7.96927  0.0818211  0.0424718  0.172192  2.38663  8.06365  6.9497  7.40821  7.85895  8.28375  8.67686  9.05514  9.40204  9.77982  10.0985  10.4459  10.7831  11.1001  11.3974  11.6872  11.9118  
